"CO_MUNICIPIO_RESIDENCIA","MUNICIPIO","MEDIA_FINAL","MEDIA_CN","MEDIA_CH","MEDIA_LC","MEDIA_MT","MEDIA_REDACAO"
1200435,"SANTA ROSA DO PURUS",2245.43571428571,435.595238095238,481.471428571429,471.003571428571,430.936904761905,426.428571428571
1200450,"SENADOR GUIOMARD",2414.15989528796,456.817068062827,510.254031413613,498.585340314136,456.901361256545,491.602094240838
1200500,"SENA MADUREIRA",2354.63041907514,444.927312138728,501.235621387283,487.570520231214,440.47789017341,480.419075144509
1200609,"TARAUACÁ",2393.3524566474,447.735693641618,506.78887283237,496.401300578035,448.062427745665,494.364161849711
1200708,"XAPURI",2372.99263157895,451.351578947368,500.658157894737,492.124210526316,444.806052631579,484.052631578947
1200807,"PORTO ACRE",2352.61298076923,446.576682692308,495.535336538462,488.060817307692,445.709375,476.730769230769
1300029,"ALVARÃES",2351.89493670886,445.184810126582,493.660759493671,477.772784810127,431.099367088608,504.177215189873
1300060,"AMATURÁ",2210.95736842105,432.586315789474,462.648947368421,442.864736842105,418.962631578947,453.894736842105
1300086,"ANAMÃ",2287.34181818182,434.982424242424,479.784848484849,470.578181818182,433.390303030303,468.606060606061
1300102,"ANORI",2338.74153846154,440.72358974359,493.827179487179,482.444102564103,433.644102564103,488.102564102564
1300144,"APUÍ",2366.3916967509,453.21155234657,499.78844765343,489.136823104693,455.590613718411,468.664259927798
1300201,"ATALAIA DO NORTE",2274.83529411765,431.961029411765,472.723529411765,467.335294117647,424.138970588235,478.676470588235
1300300,"AUTAZES",2339.75775401069,442.869251336899,487.752673796791,481.042513368984,442.638770053476,485.454545454545
1300409,"BARCELOS",2417.88453608247,458.172680412371,506.674742268041,494.430412371134,449.534536082474,509.072164948454
1300508,"BARREIRINHA",2327.16581352834,443.746800731262,489.387568555759,474.990493601463,431.399268738574,487.64168190128
1300607,"BENJAMIN CONSTANT",2205.21473533619,434.013590844063,460.605579399142,454.0886981402,428.92460658083,427.58226037196
1300631,"BERURI",2280.97777777778,432.392753623188,479.176328502415,471.242512077295,437.68309178744,460.48309178744
